Transparency Data ,,,,,,,,
,,,,,,,,
The supplier data has to be made anonymous,,,,,,,,
,,,,,,,,
Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Invoice Currency Unit
BIS,EPSRC,01/08/2016,Consumables,JRS,Banner Business Services Limited,94542380,4.12,GBP
BIS,EPSRC,01/08/2016,T&S UK - Public Transport,Programme Delivery ICT,Unspecified,94558949,16.1,GBP
BIS,EPSRC,01/08/2016,T&S UK - Public Transport,Programme Delivery ICT,Unspecified,94558949,23.25,GBP
BIS,EPSRC,01/08/2016,T&S UK - Subsistence,Programme Delivery ICT,Unspecified,94558949,5,GBP
BIS,EPSRC,01/08/2016,T&S UK - Subsistence,Programme Delivery ICT,Unspecified,94558949,5.95,GBP
BIS,EPSRC,01/08/2016,T&S UK - Subsistence,Programme Delivery ICT,Unspecified,94558949,10,GBP
BIS,EPSRC,01/08/2016,T&S UK - Subsistence,Programme Delivery ICT,Unspecified,94558949,23.02,GBP
BIS,EPSRC,01/08/2016,Printing & Stationery,Strategy,Banner Business Services Limited,94611384,42.25,GBP
BIS,EPSRC,01/08/2016,Printing & Stationery,Communications and Stakeholder Engagement,Banner Business Services Limited,94611386,4.16,GBP
BIS,EPSRC,01/08/2016,Printing & Stationery,Communications and Stakeholder Engagement,Banner Business Services Limited,94611386,12.48,GBP
BIS,EPSRC,01/08/2016,Printing & Stationery,Communications and Stakeholder Engagement,Banner Business Services Limited,94611386,31.44,GBP
BIS,EPSRC,01/08/2016,Printing & Stationery,Communications and Stakeholder Engagement,Banner Business Services Limited,94611386,66.2,GBP
BIS,EPSRC,01/08/2016,Printing & Stationery,Communications and Stakeholder Engagement,Banner Business Services Limited,94611386,74.34,GBP
BIS,EPSRC,01/08/2016,Consumables,JRS,Banner Business Services Limited,94611456,0.36,GBP
BIS,EPSRC,01/08/2016,Consumables,JRS,Banner Business Services Limited,94611456,1.8,GBP
BIS,EPSRC,01/08/2016,Consumables,JRS,Banner Business Services Limited,94611457,20.58,GBP
BIS,EPSRC,01/08/2016,T&S UK - Public Transport,Programme Delivery ICT,Unspecified,95119667,45.6,GBP
BIS,EPSRC,01/08/2016,T&S UK - Subsistence,Programme Delivery ICT,Unspecified,95119667,22.05,GBP
BIS,EPSRC,01/08/2016,Staff Training,EPSRC Corporate Services,Chartered Institute Of Purchasing & Supply,95261215,68.04,GBP
BIS,EPSRC,01/08/2016,Consumables,JRS,Banner Business Services Limited,95261551,-4.12,GBP
BIS,EPSRC,01/08/2016,Staff Training,EPSRC Corporate Services,Chartered Institute Of Purchasing & Supply,95261753,4032,GBP
BIS,EPSRC,01/08/2016,Meetings & Catering,Admin Peer Review and Output (excluding external panel member fees),Jurys Inn Group Ltd,95261890,75,GBP
BIS,EPSRC,01/08/2016,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Unspecified,95261898,160,GBP
BIS,EPSRC,01/08/2016,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Unspecified,95261901,160,GBP
BIS,EPSRC,01/08/2016,Meetings & Catering,Admin Peer Review and Output (excluding external panel member fees),Jurys Inn Group Ltd,95261903,75,GBP
BIS,EPSRC,01/08/2016,Meetings & Catering,Admin Peer Review and Output (excluding external panel member fees),Jurys Inn Group Ltd,95261905,75,GBP
BIS,EPSRC,01/08/2016,Meetings & Catering,Admin Peer Review and Output (excluding external panel member fees),Jurys Inn Group Ltd,95261909,75,GBP
BIS,EPSRC,01/08/2016,Meetings & Catering,Admin Peer Review and Output (excluding external panel member fees),Jurys Inn Group Ltd,95261912,75,GBP
BIS,EPSRC,01/08/2016,Meetings & Catering,Admin Peer Review and Output (excluding external panel member fees),Jurys Inn Group Ltd,95261913,75,GBP
BIS,EPSRC,01/08/2016,Meetings & Catering,Admin Peer Review and Output (excluding external panel member fees),Jurys Inn Group Ltd,95261916,75,GBP
BIS,EPSRC,01/08/2016,Meetings & Catering,Admin Peer Review and Output (excluding external panel member fees),Jurys Inn Group Ltd,95261918,75,GBP
BIS,EPSRC,01/08/2016,T&S UK - Public Transport,Programme Delivery Leaders,Unspecified,95262490,11,GBP
BIS,EPSRC,01/08/2016,T&S UK - Public Transport,Programme Delivery Leaders,Unspecified,95262490,23.8,GBP
BIS,EPSRC,01/08/2016,T&S UK - Subsistence,Programme Delivery Leaders,Unspecified,95262490,6.68,GBP
BIS,EPSRC,01/08/2016,T&S UK - Subsistence,Programme Delivery Leaders,Unspecified,95262490,8.79,GBP
BIS,EPSRC,02/08/2016,T&S UK - Subsistence,Programme Delivery Maths,Unspecified,94516102,18.15,GBP
BIS,EPSRC,02/08/2016,Secondments,Newton Programme Management Team,Met Office,95099378,18064.06,GBP
BIS,EPSRC,02/08/2016,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Unspecified,95120051,160,GBP
BIS,EPSRC,02/08/2016,Fees (Including College Members),Admin External Panel Member payments,Unspecified,95168185,80,GBP
BIS,EPSRC,02/08/2016,Fees (Including College Members),Admin External Panel Member payments,Unspecified,95168186,80,GBP
BIS,EPSRC,02/08/2016,Fees (Including College Members),Admin External Panel Member payments,Unspecified,95168187,80,GBP
BIS,EPSRC,02/08/2016,Fees (Including College Members),Admin External Panel Member payments,Unspecified,95168188,80,GBP
BIS,EPSRC,02/08/2016,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Unspecified,95261893,160,GBP
BIS,EPSRC,02/08/2016,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Unspecified,95261894,160,GBP
BIS,EPSRC,02/08/2016,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Unspecified,95261895,160,GBP
BIS,EPSRC,02/08/2016,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Unspecified,95261896,160,GBP
BIS,EPSRC,02/08/2016,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Unspecified,95261897,160,GBP
BIS,EPSRC,02/08/2016,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Unspecified,95261899,160,GBP
BIS,EPSRC,02/08/2016,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Unspecified,95261900,160,GBP
BIS,EPSRC,02/08/2016,Meetings & Catering,Admin Peer Review and Output (excluding external panel member fees),Jurys Inn Group Ltd,95263372,95,GBP
BIS,EPSRC,02/08/2016,Meetings & Catering,Admin Peer Review and Output (excluding external panel member fees),Jurys Inn Group Ltd,95263373,95,GBP
BIS,EPSRC,02/08/2016,Meetings & Catering,Admin Peer Review and Output (excluding external panel member fees),Jurys Inn Group Ltd,95263500,75,GBP
BIS,EPSRC,02/08/2016,Non-staff travel and subsistance,Programme Delivery ICT,Non Employee Expenses Supplier,95263524,484.72,GBP
BIS,EPSRC,02/08/2016,Non-staff travel and subsistance,Programme Delivery Quantum Technology,Non Employee Expenses Supplier,95263525,65.5,GBP
BIS,EPSRC,02/08/2016,Non-staff travel and subsistance,Programme Delivery Healthcare,Non Employee Expenses Supplier,95263526,36.6,GBP
