Transparency Data ,,,,,,,,
,,,,,,,,
The supplier data has to be made anonymous,,,,,,,,
,,,,,,,,
Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Invoice Currency Unit
BIS,EPSRC,01/12/2016,Secondments,Chief Executive,University of Nottingham,97733007,36337.96,GBP
BIS,EPSRC,01/12/2016,Recruitment Costs,EPSRC Corporate Services,Agenda Resource Management Ltd,97738356,97,GBP
BIS,EPSRC,01/12/2016,Recruitment Costs,EPSRC Corporate Services,Agenda Resource Management Ltd,97738357,97,GBP
BIS,EPSRC,01/12/2016,Staff Training,EPSRC Corporate Services,UK Shared Business Services Ltd,97740517,6727.42,GBP
BIS,EPSRC,01/12/2016,Staff Training,EPSRC Corporate Services,UK Shared Business Services Ltd,97740552,5928.72,GBP
BIS,EPSRC,01/12/2016,T&S UK - Public Transport,Programme Delivery Manufacturing,Unspecified,97740678,1.5,GBP
BIS,EPSRC,01/12/2016,T&S UK - Public Transport,Programme Delivery Manufacturing,Unspecified,97740678,4.5,GBP
BIS,EPSRC,01/12/2016,T&S UK - Public Transport,Programme Delivery Manufacturing,Unspecified,97740678,56,GBP
BIS,EPSRC,01/12/2016,T&S UK - Subsistence,Programme Delivery Manufacturing,Unspecified,97740678,9.38,GBP
BIS,EPSRC,01/12/2016,T&S UK - Subsistence,Programme Delivery Manufacturing,Unspecified,97740678,26.05,GBP
BIS,EPSRC,01/12/2016,T&S UK - Public Transport,Programme Delivery Engineering,Unspecified,97740679,2,GBP
BIS,EPSRC,01/12/2016,T&S UK - Public Transport,Programme Delivery Engineering,Unspecified,97740679,16,GBP
BIS,EPSRC,01/12/2016,Equipment Rentals Under Operating Leases,JRS,Canon/Oce (UK) Ltd (Brentwood),97742871,250.04,GBP
BIS,EPSRC,01/12/2016,Equipment Rentals Under Operating Leases,JRS,Oce Finance,97742879,230.62,GBP
BIS,EPSRC,01/12/2016,Consumables,JRS,Antalis Ltd t/a Antalis Document Supplies,97742948,179.95,GBP
BIS,EPSRC,01/12/2016,Consumables,JRS,Antalis Ltd t/a Antalis Document Supplies,97742952,454.08,GBP
BIS,EPSRC,01/12/2016,Other Pension Deductions,Balance Sheet,Scottish Widows,97742988,193.19,GBP
BIS,EPSRC,01/12/2016,Partnership Pension Deductions,Balance Sheet,Scottish Widows,97742989,1553.17,GBP
BIS,EPSRC,01/12/2016,Voluntary Deductions,Balance Sheet,Charities Aid Foundation - GAYE,97742990,1161.66,GBP
BIS,EPSRC,01/12/2016,Voluntary Deductions,Balance Sheet,Civil Service Benevolent Fund,97742991,5,GBP
