Transparency Data ,,,,,,,,
,,,,,,,,
The supplier data has to be made anonymous,,,,,,,,
,,,,,,,,
Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Invoice Currency Unit
BIS,EPSRC,01/07/2016,Corporate Events,Admin RCUK Strategy Unit,Banner Business Services Limited,95197445,25.51,GBP
BIS,EPSRC,01/07/2016,Printing & Stationery,JRS,PG Events Ltd,95197500,381.6,GBP
BIS,EPSRC,01/07/2016,T&S UK - Public Transport,Programme Delivery Physical Sciences,Unspecified,95198679,19,GBP
BIS,EPSRC,01/07/2016,T&S UK - Subsistence,Programme Delivery Physical Sciences,Unspecified,95198679,5,GBP
BIS,EPSRC,01/07/2016,T&S UK - Subsistence,Programme Delivery Physical Sciences,Unspecified,95198679,5,GBP
BIS,EPSRC,01/07/2016,T&S UK - Subsistence,Programme Delivery Physical Sciences,Unspecified,95198679,12.38,GBP
BIS,EPSRC,01/07/2016,T&S UK - Parking Tolls Congestion Charges,Programme Delivery Healthcare,Unspecified,95198680,8,GBP
BIS,EPSRC,01/07/2016,T&S UK - Public Transport,Programme Delivery Healthcare,Unspecified,95198680,71,GBP
BIS,EPSRC,01/07/2016,T&S UK - Subsistence,Programme Delivery Healthcare,Unspecified,95198680,3.9,GBP
BIS,EPSRC,01/07/2016,T&S UK - Vehicle Hire,Programme Delivery Healthcare,Unspecified,95198680,69,GBP
BIS,EPSRC,01/07/2016,T&S UK - Subsistence,Newton Programme Management Team,Unspecified,95198681,3.07,GBP
BIS,EPSRC,01/07/2016,T&S UK - Subsistence,Newton Programme Management Team,Unspecified,95198681,3.3,GBP
BIS,EPSRC,01/07/2016,T&S UK - Subsistence,Newton Programme Management Team,Unspecified,95198681,5,GBP
BIS,EPSRC,01/07/2016,T&S UK - Subsistence,Newton Programme Management Team,Unspecified,95198681,8.99,GBP
BIS,EPSRC,01/07/2016,T&S UK - Subsistence,Newton Programme Management Team,Unspecified,95198681,140.46,GBP
BIS,EPSRC,01/07/2016,T&S UK - Public Transport,Programme Delivery ICT,Unspecified,95198685,5.4,GBP
BIS,EPSRC,01/07/2016,T&S UK - Subsistence,Programme Delivery ICT,Unspecified,95198685,3.89,GBP
BIS,EPSRC,01/07/2016,T&S UK - Subsistence,Programme Delivery ICT,Unspecified,95198685,5,GBP
BIS,EPSRC,01/07/2016,T&S UK - Mileage,Programme Delivery ICT,Unspecified,95198686,29.91,GBP
BIS,EPSRC,01/07/2016,T&S UK - Parking Tolls Congestion Charges,Programme Delivery ICT,Unspecified,95198686,4.6,GBP
BIS,EPSRC,01/07/2016,T&S UK - Public Transport,Programme Delivery ICT,Unspecified,95198686,10.9,GBP
BIS,EPSRC,01/07/2016,T&S UK - Subsistence,Programme Delivery ICT,Unspecified,95198686,5.4,GBP
BIS,EPSRC,04/07/2016,Marketing & PR,Communications and Stakeholder Engagement,Resolution Films Ltd t/a Episode Three,95197533,2418.31,GBP
BIS,EPSRC,04/07/2016,Consumables,JRS,Banner Business Services Limited,95199458,56.4,GBP
BIS,EPSRC,04/07/2016,Printing & Stationery,JRS,In2Print,95200500,296,GBP
BIS,EPSRC,04/07/2016,Consumables,JRS,Premier Paper Group Ltd,95200644,240.36,GBP
BIS,EPSRC,04/07/2016,Consumables,JRS,Premier Paper Group Ltd,95200648,144.22,GBP
BIS,EPSRC,04/07/2016,Other Pension Deductions,Balance Sheet,Scottish Widows,95200711,197.57,GBP
BIS,EPSRC,04/07/2016,Partnership Pension Deductions,Balance Sheet,Scottish Widows,95200712,1328.92,GBP
BIS,EPSRC,04/07/2016,Voluntary Deductions,Balance Sheet,Charities Aid Foundation - GAYE,95200713,1161.66,GBP
BIS,EPSRC,04/07/2016,Voluntary Deductions,Balance Sheet,Civil Service Benevolent Fund,95200714,5,GBP
