Transparency Data ,,,,,,,,
,,,,,,,,
The supplier data has to be made anonymous,,,,,,,,
,,,,,,,,
Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Invoice Currency Unit
BIS,EPSRC,01/06/2016,Voluntary Deductions,Balance Sheet,Charities Aid Foundation - GAYE,94595575,1161.66,GBP
BIS,EPSRC,01/06/2016,Voluntary Deductions,Balance Sheet,Charities Aid Foundation - GAYE,94596539,1161.66,GBP
BIS,EPSRC,01/06/2016,T&S UK - Public Transport,Programme Delivery Leaders,Unspecified,94600736,23.05,GBP
BIS,EPSRC,01/06/2016,T&S UK - Subsistence,Programme Delivery Energy,Unspecified,94600738,20,GBP
BIS,EPSRC,01/06/2016,T&S UK - Public Transport,Programme Delivery Manufacturing,Unspecified,94600739,30,GBP
BIS,EPSRC,01/06/2016,T&S UK - Subsistence,Programme Delivery Manufacturing,Unspecified,94600739,4.88,GBP
BIS,EPSRC,01/06/2016,T&S UK - Subsistence,Programme Delivery Manufacturing,Unspecified,94600739,5,GBP
BIS,EPSRC,02/06/2016,Conferences & Seminars,RCUK-Newton Activity,Calder Conference Ltd,94546418,183.95,GBP
BIS,EPSRC,02/06/2016,Conferences & Seminars,RCUK-Newton Activity,Calder Conference Ltd,94546418,12352.79,GBP
BIS,EPSRC,02/06/2016,Conferences & Seminars,Admin RCUK Strategy Unit,Calder Conference Ltd,94579371,123.73,GBP
BIS,EPSRC,02/06/2016,Conferences & Seminars,Admin RCUK Strategy Unit,Calder Conference Ltd,94579371,373.85,GBP
BIS,EPSRC,02/06/2016,Conferences & Seminars,RCUK-Newton Activity,Calder Conference Ltd,94595509,-183.95,GBP
BIS,EPSRC,02/06/2016,Conferences & Seminars,RCUK-Newton Activity,Calder Conference Ltd,94595516,153.29,GBP
BIS,EPSRC,02/06/2016,Consumables,JRS,Banner Business Services Limited,94600513,3.82,GBP
BIS,EPSRC,02/06/2016,Meetings & Catering,Admin RCUK Strategy Unit,Baxter Storey Ltd,94601180,40.92,GBP
BIS,EPSRC,02/06/2016,Meetings & Catering,EPSRC Corporate Services,Baxter Storey Ltd,94601180,84.12,GBP
BIS,EPSRC,02/06/2016,Health & Safety (inc. Medicals & Opticians),EPSRC Corporate Services,Swindon Occupational Medical Services Ltd,94601228,1120,GBP
BIS,EPSRC,02/06/2016,T&S Overseas - Subsistence,Programme Delivery Physical Sciences,Unspecified,94601251,15,GBP
BIS,EPSRC,02/06/2016,T&S UK - Subsistence,Programme Delivery Physical Sciences,Unspecified,94601253,6.79,GBP
BIS,EPSRC,02/06/2016,Meetings & Catering,Programme Delivery Infrastructure,The Chartridge Conference Company Ltd,94601320,270,GBP
BIS,EPSRC,02/06/2016,Staff Training,EPSRC Corporate Services,Chartered Institute Of Purchasing & Supply,94601322,71.28,GBP
BIS,EPSRC,02/06/2016,Recruitment Costs,EPSRC Corporate Services,Agenda Resource Management Ltd,94602776,97,GBP
BIS,EPSRC,02/06/2016,Recruitment Costs,RCUK-Newton Activity,Agenda Resource Management Ltd,94602777,151,GBP
BIS,EPSRC,02/06/2016,Printing & Stationery,Programme Delivery Quantum Technology,Banner Business Services Limited,94611379,13.01,GBP
BIS,EPSRC,02/06/2016,Computer Hardware,Admin RCUK Strategy Unit,Banner Business Services Limited,94611458,145.61,GBP
BIS,EPSRC,02/06/2016,Printing & Stationery,EPSRC Corporate Services,Banner Business Services Limited,94611459,28.87,GBP
BIS,EPSRC,02/06/2016,T&S UK - Mileage,Programme Delivery Digital Economy,Unspecified,94611481,39.6,GBP
BIS,EPSRC,02/06/2016,T&S UK - Subsistence,Programme Delivery Digital Economy,Unspecified,94611481,5,GBP
BIS,EPSRC,02/06/2016,Telecoms - Calls Fax & internet Costs,PSU IS,Telecoms World Plc,94611588,16.81,GBP
BIS,EPSRC,02/06/2016,Financial Services,PSU Finance,Royal Bank of Scotland plc/Natwest,94611589,200,GBP
BIS,EPSRC,02/06/2016,Financial Services,PSU Finance,Royal Bank of Scotland plc/Natwest,94611591,200,GBP
BIS,EPSRC,02/06/2016,Consumables,JRS,PG Events Ltd,94612351,456,GBP
BIS,EPSRC,02/06/2016,Consumables,JRS,PG Events Ltd,94612351,1620,GBP
BIS,EPSRC,02/06/2016,Consumables,JRS,PG Events Ltd,94612355,50.02,GBP
BIS,EPSRC,02/06/2016,Printing & Stationery,JRS,PG Events Ltd,94612373,78,GBP
BIS,EPSRC,03/06/2016,Computer Software Licences,EPSRC Corporate Services,Research Fish Ltd,94575697,15000,GBP
BIS,EPSRC,03/06/2016,Consumables,JRS,Farnell Onecall,94611692,-0.02,GBP
BIS,EPSRC,03/06/2016,Consumables,JRS,Farnell Onecall,94611692,9.64,GBP
BIS,EPSRC,03/06/2016,Meetings & Catering,Programme Delivery Infrastructure,University of Bristol,94613605,158.82,GBP
BIS,EPSRC,03/06/2016,Meetings & Catering,Admin Peer Review and Output (excluding external panel member fees),Jurys Inn Group Ltd,94613622,75,GBP
BIS,EPSRC,03/06/2016,Agency Staff,Communications and Stakeholder Engagement,Brook Street (UK) Ltd,94613672,1.25,GBP
BIS,EPSRC,03/06/2016,Agency Staff,Communications and Stakeholder Engagement,Brook Street (UK) Ltd,94613672,6.23,GBP
BIS,EPSRC,03/06/2016,Agency Staff,Communications and Stakeholder Engagement,Brook Street (UK) Ltd,94613672,721.94,GBP
BIS,EPSRC,03/06/2016,Agency Staff,Programme Delivery Energy,Brook Street (UK) Ltd,94613680,570.32,GBP
BIS,EPSRC,03/06/2016,Staff Training,EPSRC Corporate Services,Corinium Human Resource Management Ltd,94613755,1154.88,GBP
BIS,EPSRC,03/06/2016,Consumables,JRS,Banner Business Services Limited,94614514,8.53,GBP
BIS,EPSRC,03/06/2016,Non-staff travel and subsistance,Programme Delivery Infrastructure,Non Employee Expenses Supplier,94614560,39.3,GBP
BIS,EPSRC,03/06/2016,Fees (Including College Members),Programme Delivery Infrastructure,Non Employee Expenses Supplier,94614561,80,GBP
BIS,EPSRC,03/06/2016,Non-staff travel and subsistance,Programme Delivery Physical Sciences,Non Employee Expenses Supplier,94614562,55.45,GBP
BIS,EPSRC,03/06/2016,Fees (Including College Members),Programme Delivery Physical Sciences,Non Employee Expenses Supplier,94614563,160,GBP
BIS,EPSRC,03/06/2016,Non-staff travel and subsistance,Programme Delivery Physical Sciences,Non Employee Expenses Supplier,94614564,33.7,GBP
BIS,EPSRC,03/06/2016,Fees (Including College Members),Programme Delivery Physical Sciences,Non Employee Expenses Supplier,94614565,160,GBP
BIS,EPSRC,03/06/2016,Non-staff travel and subsistance,Programme Delivery Physical Sciences,Non Employee Expenses Supplier,94614566,113.7,GBP
BIS,EPSRC,03/06/2016,Fees (Including College Members),Programme Delivery Physical Sciences,Non Employee Expenses Supplier,94614567,160,GBP
