Transparency Data ,,,,,,,,
,,,,,,,,
The supplier data has to be made anonymous,,,,,,,,
,,,,,,,,
Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Invoice Currency Unit
BIS,EPSRC,42675,Non-staff travel and subsistance,Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,95918812,2630.2,USD
BIS,EPSRC,42675,T&S UK - Other Charges,Programme Delivery Physical Sciences,Unspecified,95958747,19.5,GBP
BIS,EPSRC,42675,Agency Staff,Communications and Stakeholder Engagement,Brook Street (UK) Ltd,95963804,693.6,GBP
BIS,EPSRC,42675,Corporate Events,Programme Delivery Energy,Calder Conference Ltd,95995725,1314,GBP
BIS,EPSRC,42675,Consumables,JRS,P D C Presentation Solutions Ltd,96090713,-0.02,GBP
BIS,EPSRC,42675,Consumables,JRS,P D C Presentation Solutions Ltd,96090713,49.2,GBP
BIS,EPSRC,42675,Consumables,JRS,P D C Presentation Solutions Ltd,96090713,122.54,GBP
BIS,EPSRC,42675,Freight Charges,JRS,P D C Presentation Solutions Ltd,96090713,1.99,GBP
BIS,EPSRC,42675,Freight Charges,JRS,P D C Presentation Solutions Ltd,96090713,9.95,GBP
BIS,EPSRC,42675,Other Pension Deductions,Balance Sheet,Scottish Widows,96091716,193.19,GBP
BIS,EPSRC,42675,Partnership Pension Deductions,Balance Sheet,Scottish Widows,96091717,1553.17,GBP
BIS,EPSRC,42675,Voluntary Deductions,Balance Sheet,Charities Aid Foundation - GAYE,96091718,1161.66,GBP
BIS,EPSRC,42675,Voluntary Deductions,Balance Sheet,Civil Service Benevolent Fund,96091719,5,GBP
BIS,EPSRC,42675,Union Deductions,Balance Sheet,PCS Union,96091720,265.84,GBP
BIS,EPSRC,42675,Union Deductions,Balance Sheet,Prospect Union,96091721,35.26,GBP
BIS,EPSRC,42675,Partnership Pension Deductions,Balance Sheet,Standard Life Assurance Ltd,96091725,495.05,GBP
BIS,EPSRC,42675,Fees (Including College Members),Programme Delivery Infrastructure,Non Employee Expenses Supplier,96096720,160,GBP
BIS,EPSRC,42675,T&S UK - Vehicle Hire,Programme Delivery Energy,Enterprise Rent-A-Car UK Ltd,96097715,16.45,GBP
BIS,EPSRC,42675,T&S UK - Vehicle Hire,Programme Delivery Energy,Enterprise Rent-A-Car UK Ltd,96097715,82.28,GBP
BIS,EPSRC,42675,T&S UK - Vehicle Hire,Programme Delivery Infrastructure,Enterprise Rent-A-Car UK Ltd,96097715,19.65,GBP
BIS,EPSRC,42675,T&S UK - Vehicle Hire,Programme Delivery Infrastructure,Enterprise Rent-A-Car UK Ltd,96097715,46.38,GBP
BIS,EPSRC,42675,T&S UK - Vehicle Hire,Programme Delivery Infrastructure,Enterprise Rent-A-Car UK Ltd,96097715,51.82,GBP
BIS,EPSRC,42675,T&S UK - Vehicle Hire,Programme Delivery Manufacturing,Enterprise Rent-A-Car UK Ltd,96097715,6.48,GBP
BIS,EPSRC,42675,T&S UK - Vehicle Hire,Programme Delivery Manufacturing,Enterprise Rent-A-Car UK Ltd,96097715,32.38,GBP
BIS,EPSRC,42675,T&S UK - Vehicle Hire,Programme Delivery Physical Sciences,Enterprise Rent-A-Car UK Ltd,96097715,9.56,GBP
BIS,EPSRC,42675,T&S UK - Vehicle Hire,Programme Delivery Physical Sciences,Enterprise Rent-A-Car UK Ltd,96097715,47.8,GBP
BIS,EPSRC,42675,Non-staff travel and subsistance,Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,96100713,224.9,GBP
BIS,EPSRC,42675,Non-staff travel and subsistance,Performance and Evaluation,Non Employee Expenses Supplier,96100714,53.1,GBP
BIS,EPSRC,42675,Other Programme Costs,RCUK-Newton Activity,Non Employee Expenses Supplier,96100715,59.56,GBP
BIS,EPSRC,42675,Other Programme Costs,RCUK-Newton Activity,Non Employee Expenses Supplier,96100716,80,GBP
BIS,EPSRC,42675,Other Programme Costs,RCUK-Newton Activity,Non Employee Expenses Supplier,96100717,2722.1,GBP
BIS,EPSRC,42675,Other Programme Costs,RCUK-Newton Activity,Non Employee Expenses Supplier,96100718,320,GBP
BIS,EPSRC,42675,Other Programme Costs,RCUK-Newton Activity,Non Employee Expenses Supplier,96100719,80,GBP
BIS,EPSRC,42675,Conferences & Seminars,Programme Delivery Quantum Technology,Cambridge Wireless Ltd,96100746,2400,GBP
BIS,EPSRC,42675,T&S UK - Vehicle Hire,Programme Delivery Manufacturing,Unspecified,96104935,17.87,GBP
BIS,EPSRC,42675,T&S Overseas - Subsistence,RCUK Executive Director,Unspecified,96104936,10,GBP
BIS,EPSRC,42675,T&S Overseas - Subsistence,RCUK Executive Director,Unspecified,96104936,11.51,GBP
BIS,EPSRC,42676,Research Grant Expenditure,NC ICT,Technology Strategy Board (Innovate UK),95844968,83207.5,GBP
BIS,EPSRC,42676,Research Grant Expenditure,NC Infrastructure,Technology Strategy Board (Innovate UK),95844968,83207.5,GBP
BIS,EPSRC,42676,Equipment Rentals Under Operating Leases,JRS,Xerox Finance Ltd,96007714,425.8,GBP
BIS,EPSRC,42676,Corporate Events,Programme Delivery LWEC,Calder Conference Ltd,96119717,878.49,GBP
BIS,EPSRC,42676,Corporate Events,External communications,Scarecrow Events Ltd,96141724,2160,GBP
BIS,EPSRC,42676,Marketing & PR,Communications and Public Engagement,Dreaming Fish Productions Limited,96141725,931.14,GBP
BIS,EPSRC,42676,Other Programme Costs,NC Physical Sciences,Royal Society of Chemistry,96141741,70000,GBP
BIS,EPSRC,42676,Meetings & Catering,Admin RCUK Strategy Unit,Baxter Storey Ltd,96146749,631.8,GBP
BIS,EPSRC,42676,Meetings & Catering,EPSRC Corporate Services,Baxter Storey Ltd,96146749,399.78,GBP
BIS,EPSRC,42676,Meetings & Catering,Admin Peer Review and Output (excluding external panel member fees),Jurys Inn Group Ltd,96147864,75,GBP
BIS,EPSRC,42676,Meetings & Catering,Admin Peer Review and Output (excluding external panel member fees),Jurys Inn Group Ltd,96147866,75,GBP
BIS,EPSRC,42676,Meetings & Catering,Admin Peer Review and Output (excluding external panel member fees),Jurys Inn Group Ltd,96147868,75,GBP
BIS,EPSRC,42676,Meetings & Catering,Admin Peer Review and Output (excluding external panel member fees),Jurys Inn Group Ltd,96147877,75,GBP
BIS,EPSRC,42676,Meetings & Catering,Admin Peer Review and Output (excluding external panel member fees),Jurys Inn Group Ltd,96147880,75,GBP
BIS,EPSRC,42676,Meetings & Catering,Admin Peer Review and Output (excluding external panel member fees),Jurys Inn Group Ltd,96147888,75,GBP
BIS,EPSRC,42676,Meetings & Catering,Admin Peer Review and Output (excluding external panel member fees),Jurys Inn Group Ltd,96147900,75,GBP
BIS,EPSRC,42676,Meetings & Catering,Admin Peer Review and Output (excluding external panel member fees),Jurys Inn Group Ltd,96147903,75,GBP
BIS,EPSRC,42676,Meetings & Catering,Admin Peer Review and Output (excluding external panel member fees),Jurys Inn Group Ltd,96147904,75,GBP
BIS,EPSRC,42676,Other Staff Benefits,EPSRC Corporate Services,Greenwich Leisure Limited,96149718,3.9,GBP
BIS,EPSRC,42676,Other Staff Benefits,EPSRC Corporate Services,Greenwich Leisure Limited,96149719,3,GBP
BIS,EPSRC,42676,Other Staff Benefits,EPSRC Corporate Services,Greenwich Leisure Limited,96149720,111,GBP
BIS,EPSRC,42676,Other Staff Benefits,EPSRC Corporate Services,Greenwich Leisure Limited,96149721,25.9,GBP
BIS,EPSRC,42676,Other Staff Benefits,EPSRC Corporate Services,Greenwich Leisure Limited,96149722,392.25,GBP
BIS,EPSRC,42676,Consumables,JRS,Stanford Marsh,96154726,796.51,GBP
BIS,EPSRC,42676,Consumables,JRS,Antalis Ltd t/a Antalis Document Supplies,96159719,0.01,GBP
BIS,EPSRC,42676,Consumables,JRS,Antalis Ltd t/a Antalis Document Supplies,96159719,39.6,GBP
BIS,EPSRC,42676,Consumables,JRS,Antalis Ltd t/a Antalis Document Supplies,96159719,139.54,GBP
BIS,EPSRC,42676,T&S UK - Mileage,Programme Delivery Physical Sciences,Unspecified,96163735,11.84,GBP
BIS,EPSRC,42676,T&S UK - Public Transport,Programme Delivery Engineering,Unspecified,96163736,29.7,GBP
BIS,EPSRC,42676,T&S UK - Other Charges,RCUK Executive Director,Unspecified,96163737,10,GBP
BIS,EPSRC,42676,T&S UK - Parking Tolls Congestion Charges,Programme Delivery Maths,Unspecified,96163738,2,GBP
BIS,EPSRC,42676,T&S UK - Public Transport,Programme Delivery Maths,Unspecified,96163738,2,GBP
BIS,EPSRC,42676,T&S UK - Public Transport,Programme Delivery Maths,Unspecified,96163738,4.8,GBP
BIS,EPSRC,42676,T&S UK - Public Transport,Programme Delivery Maths,Unspecified,96163738,11.3,GBP
