Transparency Data ,,,,,,,,
,,,,,,,,
The supplier data has to be made anonymous,,,,,,,,
,,,,,,,,
Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Invoice Currency Unit
BIS,EPSRC,03/10/2016,Non-staff travel and subsistance,Programme Delivery ICT,Non Employee Expenses Supplier,95532892,286.01,GBP
BIS,EPSRC,03/10/2016,Fees (Including College Members),Programme Delivery ICT,Non Employee Expenses Supplier,95532893,160,GBP
BIS,EPSRC,03/10/2016,Non-staff travel and subsistance,Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,95532894,136.88,GBP
BIS,EPSRC,03/10/2016,Non-staff travel and subsistance,Programme Delivery ICT,Non Employee Expenses Supplier,95532895,56.5,GBP
BIS,EPSRC,03/10/2016,Fees (Including College Members),Programme Delivery ICT,Non Employee Expenses Supplier,95532896,160,GBP
BIS,EPSRC,03/10/2016,Non-staff travel and subsistance,Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,95532897,319.4,GBP
BIS,EPSRC,03/10/2016,Non-staff travel and subsistance,Programme Delivery ICT,Non Employee Expenses Supplier,95532898,10.4,GBP
BIS,EPSRC,03/10/2016,Fees (Including College Members),Programme Delivery ICT,Non Employee Expenses Supplier,95532899,160,GBP
BIS,EPSRC,03/10/2016,Non-staff travel and subsistance,Programme Delivery ICT,Non Employee Expenses Supplier,95532900,202.5,GBP
BIS,EPSRC,03/10/2016,Fees (Including College Members),Programme Delivery ICT,Non Employee Expenses Supplier,95532901,160,GBP
BIS,EPSRC,03/10/2016,Non-staff travel and subsistance,Programme Delivery ICT,Non Employee Expenses Supplier,95532902,147.2,GBP
BIS,EPSRC,03/10/2016,Fees (Including College Members),Programme Delivery ICT,Non Employee Expenses Supplier,95532903,160,GBP
BIS,EPSRC,03/10/2016,Non-staff travel and subsistance,Programme Delivery GU,Non Employee Expenses Supplier,95532904,336.02,GBP
BIS,EPSRC,03/10/2016,Non-staff travel and subsistance,Programme Delivery ICT,Non Employee Expenses Supplier,95532905,128.5,GBP
BIS,EPSRC,03/10/2016,Fees (Including College Members),Programme Delivery ICT,Non Employee Expenses Supplier,95532906,160,GBP
BIS,EPSRC,03/10/2016,Non-staff travel and subsistance,Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,95532907,16.7,GBP
BIS,EPSRC,03/10/2016,Non-staff travel and subsistance,Chief Executive,Non Employee Expenses Supplier,95532908,37.3,GBP
BIS,EPSRC,03/10/2016,Non-staff travel and subsistance,Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,95532909,109.35,GBP
BIS,EPSRC,03/10/2016,Non-staff travel and subsistance,Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,95532910,75.4,GBP
BIS,EPSRC,03/10/2016,Non-staff travel and subsistance,Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,95532911,180.85,GBP
BIS,EPSRC,03/10/2016,Non-staff travel and subsistance,Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,95532912,33.4,GBP
BIS,EPSRC,03/10/2016,Non-staff travel and subsistance,Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,95532913,170.25,GBP
