Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Invoice Currency Unit
BIS,EPSRC,01/09/2016,UK - Professional Memberships & Subscriptions,Communications and Stakeholder Engagement,Dods Parliamentary Communications Ltd,95276287,4740,GBP
BIS,EPSRC,01/09/2016,Meetings & Catering,Admin Peer Review and Output (excluding external panel member fees),Jurys Inn Group Ltd,95279534,18.3,GBP
BIS,EPSRC,01/09/2016,Meetings & Catering,Admin Peer Review and Output (excluding external panel member fees),Jurys Inn Group Ltd,95279534,165.7,GBP
BIS,EPSRC,01/09/2016,T&S UK - Public Transport,RCUK Executive Director,Unspecified,95296283,5,GBP
BIS,EPSRC,01/09/2016,T&S UK - Public Transport,RCUK Executive Director,Unspecified,95296283,20,GBP
BIS,EPSRC,01/09/2016,T&S UK - Subsistence,RCUK Executive Director,Unspecified,95296283,10,GBP
BIS,EPSRC,01/09/2016,Health & Safety (inc. Medicals & Opticians),EPSRC Corporate Services,Swindon Occupational Medical Services Ltd,95297907,980,GBP
BIS,EPSRC,02/09/2016,Other Staff Benefits,EPSRC Corporate Services,P&MM Limited,95298032,31.08,GBP
BIS,EPSRC,02/09/2016,Other Staff Benefits,EPSRC Corporate Services,P&MM Limited,95298034,12.6,GBP
BIS,EPSRC,02/09/2016,Recruitment Costs,EPSRC Corporate Services,Agenda Resource Management Ltd,95298162,33.4,GBP
BIS,EPSRC,02/09/2016,Hardware/Software Maintenance,JRS,Kennedy Grinding Ltd,95298767,20.4,GBP
BIS,EPSRC,02/09/2016,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Unspecified,95298866,320,GBP
BIS,EPSRC,02/09/2016,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Unspecified,95298867,320,GBP
BIS,EPSRC,02/09/2016,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Unspecified,95298875,160,GBP
BIS,EPSRC,02/09/2016,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Unspecified,95298876,160,GBP
BIS,EPSRC,02/09/2016,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Unspecified,95298877,160,GBP
BIS,EPSRC,02/09/2016,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Unspecified,95298878,160,GBP
BIS,EPSRC,02/09/2016,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Unspecified,95298879,160,GBP
BIS,EPSRC,02/09/2016,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Unspecified,95298880,160,GBP
BIS,EPSRC,02/09/2016,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Unspecified,95298881,160,GBP
BIS,EPSRC,02/09/2016,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Unspecified,95298882,160,GBP
BIS,EPSRC,02/09/2016,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Unspecified,95298883,160,GBP
BIS,EPSRC,02/09/2016,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Unspecified,95298884,160,GBP
BIS,EPSRC,02/09/2016,Other Programme Costs,Public Engagement with Research,Wellcome Trust,95298998,2750,GBP
BIS,EPSRC,02/09/2016,Consumables,JRS,Morgana Systems Ltd,95299725,24.54,GBP
BIS,EPSRC,05/09/2016,Purchase of non capital equipment,JRS,Arco Limited,95065351,3.22,GBP
BIS,EPSRC,05/09/2016,Purchase of non capital equipment,JRS,Arco Limited,95065351,16.1,GBP
BIS,EPSRC,05/09/2016,Purchase of non capital equipment,JRS,Arco Limited,95065351,67.19,GBP
BIS,EPSRC,05/09/2016,T&S UK - Public Transport,Newton Programme Management Team,Unspecified,95224349,12,GBP
BIS,EPSRC,05/09/2016,T&S UK - Public Transport,Newton Programme Management Team,Unspecified,95224349,15,GBP
BIS,EPSRC,05/09/2016,T&S UK - Subsistence,Newton Programme Management Team,Unspecified,95224349,16.88,GBP
BIS,EPSRC,05/09/2016,Staff Training,EPSRC Corporate Services,Pearn Kandola LLP,95290038,2640,GBP
BIS,EPSRC,05/09/2016,Consumables,JRS,Premier Paper Group Ltd,95299855,1598.4,GBP
BIS,EPSRC,05/09/2016,Purchase of non capital equipment,JRS,Arco Limited,95300940,-19.32,GBP
BIS,EPSRC,05/09/2016,Consumables,JRS,Ricoh Uk Ltd,95301739,8998.16,GBP
BIS,EPSRC,05/09/2016,T&S UK - Parking Tolls Congestion Charges,OCR Project,Unspecified,95302877,7.1,GBP
BIS,EPSRC,05/09/2016,T&S UK - Public Transport,OCR Project,Unspecified,95302877,4.8,GBP
BIS,EPSRC,05/09/2016,T&S UK - Parking Tolls Congestion Charges,OCR Project,Unspecified,95302878,7.1,GBP
BIS,EPSRC,05/09/2016,T&S UK - Public Transport,OCR Project,Unspecified,95302878,9.6,GBP
BIS,EPSRC,05/09/2016,T&S UK - Public Transport,Programme Delivery Maths,Unspecified,95302879,6.91,GBP
BIS,EPSRC,05/09/2016,T&S UK - Subsistence,Programme Delivery Maths,Unspecified,95302879,4.49,GBP
BIS,EPSRC,05/09/2016,T&S UK - Subsistence,Programme Delivery Maths,Unspecified,95302879,4.9,GBP
BIS,EPSRC,05/09/2016,T&S UK - Subsistence,Programme Delivery Maths,Unspecified,95302879,5.08,GBP
BIS,EPSRC,05/09/2016,T&S UK - Parking Tolls Congestion Charges,OCR Project,Unspecified,95302880,19.5,GBP
BIS,EPSRC,05/09/2016,T&S UK - Mileage,Programme Delivery Physical Sciences,Unspecified,95302882,43.2,GBP
